IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
48.209.148.15,8443,443,true,DUB,Europe,Dublin,317,11.68
4.219.15.140,2053,443,true,CPH,Europe,Copenhagen,172,11.56
4.219.15.140,8443,443,true,CPH,Europe,Copenhagen,188,11.47
172.179.181.196,443,443,true,SEA,North America,Seattle,459,11.47
20.33.30.36,2083,443,true,LAX,North America,Los Angeles,365,11.27
20.217.216.51,8443,443,true,VIE,Europe,Vienna,235,11.20
98.71.19.116,443,443,true,DUB,Europe,Dublin,165,11.20
20.169.80.29,443,443,true,LAX,North America,Los Angeles,239,11.09
4.242.220.94,8080,443,true,SJC,North America,San Jose,221,10.99
4.221.60.243,2053,443,true,JNB,Africa,Johannesburg,234,10.91
4.221.60.243,8443,443,true,JNB,Africa,Johannesburg,187,10.79
20.217.216.51,2053,443,true,VIE,Europe,Vienna,276,10.45
20.33.62.19,2083,443,true,LHR,Europe,London,378,10.31
4.255.56.138,443,443,true,EWR,North America,Newark,456,10.19
20.221.32.145,443,443,true,ORD,North America,Chicago,228,9.27
74.249.233.213,443,443,true,ORD,North America,Chicago,264,8.81
20.127.201.36,443,443,true,IAD,North America,Ashburn,248,8.80
158.23.81.224,8443,443,true,DFW,North America,Dallas,260,8.52
20.36.131.211,443,443,true,IAD,North America,Ashburn,424,8.46
158.23.81.224,2053,443,true,DFW,North America,Dallas,252,8.43
20.84.117.28,443,443,true,EWR,North America,Newark,411,8.33
20.121.115.188,443,443,true,EWR,North America,Newark,279,8.19
172.191.74.198,443,443,true,EWR,North America,Newark,447,8.12
48.217.34.120,443,443,true,EWR,North America,Newark,543,8.08
20.62.202.159,443,443,true,IAD,North America,Ashburn,325,8.06
20.151.60.161,8443,443,true,YYZ,North America,Toronto,377,7.94
40.79.73.114,8443,443,true,IAD,North America,Ashburn,447,7.84
20.109.23.42,443,443,true,IAD,North America,Ashburn,382,7.84
172.177.248.69,8443,443,true,IAD,North America,Ashburn,290,7.69
20.228.249.211,8443,443,true,IAD,North America,Ashburn,338,7.62
20.151.63.165,8443,443,true,YYZ,North America,Toronto,310,7.60
4.172.225.98,8443,443,true,YYZ,North America,Toronto,292,7.56
